,total functional wiring,characteristic length,average node degree,argmax node degree,binarized average clustering,density,binarized small-worldness,max node betweenness,argmax node betweenness,label
0,2420.934,1.223,41.7402,Right Precuneus,0.87,0.777,1.1074,0.034,Right Middle Cingulate Cortex,1
1,1902.912,1.283,32.8088,Right Lingual Gyrus,0.821,0.718,1.1436,0.0267,Right Middle Cingulate Cortex,1
2,2571.152,1.181,44.3302,Right Hippocampus,0.893,0.819,1.1006,0.0316,Left Hippocampus,1
3,1503.118,1.409,25.9158,Left Cerebellum,0.693,0.591,1.1851,0.0316,Right Thalamus,1
4,2989.882,1.13,51.5497,Right Inferior Temporal Gyrus,0.921,0.87,1.0601,0.0381,Left Cerebellum,1
5,1707.558,1.332,29.4406,Right Middle Temporal Gyrus,0.765,0.668,1.1563,0.0394,Right Middle Temporal Gyrus,1
6,2744.186,1.124,47.3135,Right Lingual Gyrus,0.918,0.876,1.0554,0.0214,Left Superior Frontal Gyrus,1
7,3370.119,1.073,58.1055,Left Precentral Gyrus,0.959,0.927,1.0283,0.0235,Cerebellar Vermis,1
8,1577.914,1.395,27.2054,Right Lingual Gyrus,0.716,0.605,1.1917,0.023,Left Thalamus,1
9,1211.84,1.498,20.8938,Right Lingual Gyrus,0.608,0.502,1.2318,0.022,Right Lingual Gyrus,1
10,2120.762,1.288,36.5649,Right Cerebellum,0.819,0.712,1.1448,0.0345,Right Superior Temporal Gyrus,1
11,2317.292,1.204,39.9533,Right Cerebellum,0.857,0.796,1.0845,0.0305,Right Cerebellum,1
12,1951.544,1.312,33.6473,Right Lingual Gyrus,0.8,0.688,1.16,0.0197,Right Cerebellum,1
13,2880.292,1.123,49.6602,Left Middle Temporal Gyrus,0.917,0.877,1.0276,0.0238,Left Middle Temporal Gyrus,1
14,992.452,1.559,17.1112,Right Lingual Gyrus,0.579,0.443,1.2867,0.0264,Left Cerebellum,1
15,2381.292,1.201,41.0568,Left Middle Occipital Gyrus,0.859,0.799,1.0811,0.0285,Left Middle Occipital Gyrus,1
16,2105.099,1.254,36.2948,Right Lingual Gyrus,0.84,0.746,1.1321,0.0319,Right Inferior Temporal Gyrus,1
17,2551.634,1.199,43.9937,Right Middle Cingulate Cortex,0.884,0.801,1.0964,0.0236,Left Cerebellum,1
18,1479.25,1.427,25.5043,Right Cerebellum,0.69,0.573,1.1928,0.0326,Cerebellar Vermis,2
19,2165.071,1.248,37.3288,Left Middle Frontal Gyrus,0.831,0.752,1.0913,0.0359,Right Cerebellum,2
20,2544.882,1.216,43.8773,Right Lingual Gyrus,0.866,0.784,1.0928,0.0209,Right Middle Cingulate Cortex,2
21,2124.425,1.231,36.628,Right Cerebellum,0.844,0.769,1.0826,0.0191,RightPrecentral Gyrus,2
22,1018.597,1.558,17.562,Left Cerebellum,0.579,0.442,1.3141,0.0284,Left Cerebellum,2
23,1827.875,1.328,31.5151,Right Cerebellum,0.788,0.672,1.1732,0.038,Right Cerebellum,2
24,1862.831,1.317,32.1178,Left Cerebellum,0.787,0.683,1.1666,0.0304,Left Cerebellum,2
25,3216.002,1.116,55.4483,Left Inferior Frontal Gyrus (p. Triangularis),0.913,0.884,1.0285,0.025,Left Cerebellum,2
26,1874.193,1.308,32.3137,Right Middle Frontal Gyrus,0.796,0.692,1.1294,0.0291,Right Cerebellum,2
27,2413.213,1.205,41.6071,Right Precuneus,0.873,0.795,1.1213,0.0381,Cerebellar Vermis,2
28,1396.889,1.444,24.0843,Right Lingual Gyrus,0.67,0.556,1.2126,0.0297,Right Lingual Gyrus,2
29,2393.734,1.235,41.2713,Left Cerebellum,0.863,0.765,1.1429,0.0445,Left Cerebellum,2
30,2672.46,1.187,46.0769,Right Middle Cingulate Cortex,0.895,0.813,1.106,0.0294,Right Middle Cingulate Cortex,2
31,2147.986,1.26,37.0342,Right SMA,0.835,0.74,1.1163,0.0357,Right Lingual Gyrus,2
32,1743.484,1.353,30.0601,Left Middle Occipital Gyrus,0.751,0.647,1.1597,0.0166,Right Inferior Temporal Gyrus,2
33,1185.943,1.524,20.4473,Left Rectal Gyrus,0.601,0.476,1.2321,0.04,Left Olfactory cortex,2
34,1387.068,1.445,23.915,Left Cerebellum,0.672,0.555,1.2198,0.0395,Right Lingual Gyrus,2
35,3875.37,1.053,66.8167,Left Amygdala,0.972,0.947,1.0263,0.0122,Right Cerebellum,1
36,3358.934,1.107,57.9127,Right Temporal Pole,0.935,0.893,1.0439,0.0238,Cerebellar Vermis,2
37,2543.777,1.19,43.8582,Right Cerebellum,0.874,0.81,1.0929,0.0215,Right Cerebellum,1
38,1041.171,1.569,17.9512,Left Middle Occipital Gyrus,0.551,0.431,1.2917,0.0273,Right Precuneus,1
39,2677.067,1.194,46.1563,Left Middle Occipital Gyrus,0.871,0.806,1.0664,0.0232,Left Hippocampus,2
40,2347.325,1.186,40.4711,Left Cerebellum,0.87,0.814,1.0788,0.029,Right Cerebellum,2
41,3439.567,1.045,59.3029,Left Amygdala,0.966,0.955,1.0064,0.0125,Left Inferior Frontal Gyrus (p. Orbitalis),2
42,1160.257,1.513,20.0044,Right Cerebellum,0.596,0.487,1.2524,0.0214,Right Cerebellum,2
43,1613.669,1.38,27.8219,Left Superior Parietal Lobule ,0.74,0.62,1.1657,0.0377,Left Superior Parietal Lobule ,2
44,2854.975,1.096,49.2237,Right Middle Cingulate Cortex,0.938,0.904,1.0362,0.0175,Left Olfactory cortex,2
45,1861.751,1.315,32.0992,Right Cerebellum,0.788,0.685,1.1522,0.0261,Right Cerebellum,2
46,3323.132,1.071,57.2954,Left Superior Temporal Gyrus,0.951,0.929,1.0346,0.0197,Right Cerebellum,2
47,1793.799,1.329,30.9276,Left Cerebellum,0.77,0.671,1.1701,0.0301,Right SMA,2
48,3146.242,1.077,54.2456,Right Cerebellum,0.954,0.923,1.0246,0.0136,Left Postcentral Gyrus,2
49,1605.798,1.37,27.6862,Left Cerebellum,0.731,0.63,1.1411,0.0302,Left Superior Frontal Gyrus,2
50,2294.278,1.216,39.5565,RightPrecentral Gyrus,0.864,0.784,1.0763,0.0375,RightPrecentral Gyrus,2
51,2668.802,1.18,46.0138,Right Cerebellum,0.893,0.82,1.1089,0.022,Cerebellar Vermis,2
52,2927.642,1.095,50.4766,Right Temporal Pole,0.929,0.905,1.0265,0.0154,Right Inferior Temporal Gyrus,2
53,2762.556,1.132,47.6303,Left Cerebellum,0.913,0.868,1.0518,0.0162,Right SMA,2
54,2081.238,1.264,35.8834,Right Middle Cingulate Cortex,0.822,0.736,1.1142,0.0371,Right Cerebellum,1
55,3029.529,1.045,52.2333,Right Inferior Temporal Gyrus,0.969,0.955,1.0119,0.0146,Left Middle Temporal Gyrus,1
56,1808.467,1.343,31.1805,Left Cerebellum,0.763,0.657,1.1437,0.0226,Left Cerebellum,1
57,2006.575,1.289,34.5961,Right Cerebellum,0.801,0.711,1.1386,0.0244,Left Fusiform Gyrus,1
58,1763.607,1.331,30.407,Left Hippocampus,0.768,0.669,1.1362,0.0564,Left Hippocampus,1
59,1299.381,1.447,22.4031,Right Cerebellum,0.68,0.553,1.2152,0.0293,Right Cerebellum,1
60,2625.762,1.163,45.2718,Right Hippocampus,0.891,0.837,1.07,0.0268,Right Superior Frontal Gyrus,1
61,1536.913,1.39,26.4985,Right Cerebellum,0.728,0.61,1.1989,0.0285,Right Superior Medial Gyrus,1
62,2404.967,1.21,41.4649,Right Middle Cingulate Cortex,0.868,0.79,1.1031,0.0386,Left Hippocampus,1
63,1263.531,1.479,21.785,Right Mid Orbital Gyrus,0.631,0.521,1.1858,0.025,Right Mid Orbital Gyrus,1
64,1562.038,1.373,26.9317,Right Cerebellum,0.743,0.627,1.1526,0.0326,Left Superior Frontal Gyrus,1
65,1341.995,1.451,23.1378,Left Cerebellum,0.686,0.549,1.2695,0.0288,Right Cerebellum,1
66,3134.948,1.079,54.0508,Left Superior Frontal Gyrus,0.946,0.921,1.0319,0.0197,Left Cerebellum,1
67,2199.744,1.239,37.9266,Right Middle Temporal Gyrus,0.841,0.761,1.1073,0.0398,Right Middle Temporal Gyrus,1
68,1104.735,1.532,19.0472,Right Middle Occipital Gyrus,0.553,0.468,1.1885,0.0232,Left Middle Cingulate Cortex,1
69,1301.193,1.483,22.4344,Right Precuneus,0.615,0.517,1.2104,0.0226,Right Cerebellum,1
70,1481.572,1.435,25.5444,Right Postcentral Gyrus,0.655,0.565,1.1527,0.0314,Left Precentral Gyrus,1
71,1774.847,1.359,30.6008,Left Precentral Gyrus,0.745,0.641,1.1646,0.0449,Right Cerebellum,1
72,1294.584,1.475,22.3204,Left Cerebellum,0.609,0.525,1.1548,0.0223,RightPrecentral Gyrus,1
73,2002.848,1.281,34.5319,Right Cerebellum,0.799,0.719,1.0917,0.0178,Right Superior Occipital Gyrus,1
74,1456.713,1.436,25.1157,Right Cerebellum,0.649,0.564,1.1525,0.0229,Right Cerebellum,1
75,2000.048,1.316,34.4836,Right Middle Cingulate Cortex,0.764,0.684,1.1156,0.0217,Left Insula Lobe,1
76,1232.733,1.491,21.254,Left ParaHippocampal Gyrus,0.607,0.509,1.1957,0.0189,Right Cerebellum,1
77,1948.847,1.323,33.6008,Right Cerebellum,0.782,0.677,1.134,0.0307,Right Middle Cingulate Cortex,1
78,1807.039,1.334,31.1558,Left Fusiform Gyrus,0.745,0.666,1.1055,0.0355,Right Hippocampus,1
79,1087.89,1.535,18.7567,Right Superior Medial Gyrus,0.552,0.465,1.1755,0.0194,Left Anterior Cingulate Cortex,1
80,1827.322,1.308,31.5056,Left Temporal Pole,0.777,0.692,1.118,0.0211,Right Fusiform Gyrus,2
81,1306.122,1.48,22.5193,Right Middle Cingulate Cortex,0.621,0.52,1.1852,0.023,Right Precuneus,2
82,1629.777,1.375,28.0996,Right Middle Cingulate Cortex,0.701,0.625,1.1202,0.0267,Right Thalamus,2
83,1235.436,1.494,21.3006,Right Mid Orbital Gyrus,0.6,0.506,1.1696,0.0241,Right Mid Orbital Gyrus,2
84,1794.139,1.332,30.9334,Left Inferior Frontal Gyrus (p. Orbitalis),0.761,0.668,1.1425,0.0243,Right Cuneus,2
85,3189.469,1.103,54.9909,Left Superior Temporal Gyrus,0.935,0.897,1.0486,0.0127,Left Temporal Pole,2
86,1367.483,1.447,23.5773,Right Cerebellum,0.639,0.553,1.1683,0.0249,Left Superior Medial Gyrus,2
87,2235.917,1.231,38.5503,Cerebellar Vermis,0.834,0.769,1.0565,0.025,Cerebellar Vermis,2
88,1659.736,1.403,28.6161,Left Paracentral Lobule,0.698,0.597,1.1567,0.0192,Right Superior Medial Gyrus,2
89,1171.517,1.508,20.1986,Right Cerebellum,0.59,0.492,1.2268,0.0247,Right Middle Cingulate Cortex,2
90,1606.097,1.386,27.6913,Right Lingual Gyrus,0.705,0.614,1.1531,0.036,Left Precuneus,2
91,2864.569,1.122,49.3891,Right Inferior Temporal Gyrus,0.912,0.878,1.0363,0.024,Right Inferior Temporal Gyrus,2
92,2830.04,1.139,48.7938,Left Middle Temporal Gyrus,0.906,0.861,1.0627,0.0194,Right Cerebellum,2
93,1145.439,1.522,19.7489,Left Middle Occipital Gyrus,0.593,0.478,1.2651,0.0255,Left Middle Occipital Gyrus,1
94,1298.612,1.48,22.3899,Right Middle Cingulate Cortex,0.67,0.521,1.3008,0.04,Right Middle Cingulate Cortex,1
95,1259.007,1.474,21.707,Right Middle Temporal Gyrus,0.662,0.526,1.2777,0.0357,Left Hippocampus,1
96,1931.144,1.3,33.2956,Left Middle Occipital Gyrus,0.788,0.7,1.1083,0.0359,Right Middle Temporal Gyrus,1
97,1290.036,1.461,22.242,Right Cerebellum,0.661,0.539,1.2354,0.0391,Right Cerebellum,1
98,1835.185,1.33,31.6411,Right Lingual Gyrus,0.773,0.67,1.1544,0.0238,Right Temporal Pole,1
99,1840.285,1.314,31.729,Left Lingual Gyrus,0.779,0.686,1.1467,0.0194,Left Superior Parietal Lobule ,2
100,1944.497,1.295,33.5258,Left Cerebellum,0.793,0.705,1.141,0.0275,Left Cerebellum,2
101,1470.592,1.416,25.355,Left Hippocampus,0.717,0.584,1.2056,0.0284,Left ParaHippocampal Gyrus,2
102,1811.596,1.338,31.2344,Left Inferior Occipital Gyrus,0.791,0.663,1.2049,0.0458,Left Inferior Occipital Gyrus,2
103,1456.854,1.425,25.1182,Right Cerebellum,0.688,0.575,1.1915,0.0276,Right Inferior Temporal Gyrus,2
104,1651.399,1.358,28.4724,Right Hippocampus,0.756,0.642,1.1602,0.0363,Left Cerebellum,2
105,2853.742,1.122,49.2024,Cerebellar Vermis,0.918,0.878,1.0405,0.0285,Cerebellar Vermis,2
106,2663.387,1.147,45.9205,Left Cerebellum,0.899,0.853,1.0511,0.0218,Left Cerebellum,2
107,2126.856,1.245,36.6699,Left Middle Temporal Gyrus,0.847,0.755,1.1061,0.0261,Left Middle Occipital Gyrus,2
108,1319.021,1.453,22.7417,Left Middle Temporal Gyrus,0.678,0.547,1.2432,0.0256,Left Middle Temporal Gyrus,2
109,1836.869,1.307,31.6701,Left Precuneus,0.789,0.693,1.1244,0.0319,Left Precuneus,2
110,1920.115,1.306,33.1054,Left Cerebellum,0.787,0.694,1.1048,0.0296,Left Hippocampus,2
111,2247.456,1.209,38.7492,Right ParaHippocampal Gyrus,0.862,0.791,1.0729,0.0279,Right Middle Cingulate Cortex,2
112,1650.964,1.363,28.4649,Left Lingual Gyrus,0.757,0.637,1.206,0.0265,Right Middle Cingulate Cortex,2
113,2784.411,1.094,48.0071,Right Hippocampus,0.932,0.906,1.0289,0.0214,Right Inferior Temporal Gyrus,2
114,1670.143,1.364,28.7956,Right Middle Cingulate Cortex,0.731,0.636,1.1742,0.0307,Right Middle Cingulate Cortex,2
115,1499.741,1.411,25.8576,Right Middle Cingulate Cortex,0.699,0.589,1.1808,0.0247,Right Caudate Nucleus,2
116,2138.588,1.267,36.8722,Right Cerebellum,0.834,0.733,1.1556,0.0272,Right Cerebellum,1
117,1482.524,1.404,25.5608,Right Postcentral Gyrus,0.706,0.596,1.2001,0.0281,Left Postcentral Gyrus,1
118,2201.651,1.281,37.9595,Right Middle Occipital Gyrus,0.835,0.719,1.1633,0.0293,Left Cerebellum,1
119,1345.955,1.453,23.2061,Left Cerebellum,0.662,0.547,1.2165,0.0243,Left Thalamus,1
120,1034.757,1.553,17.8406,Left Middle Frontal Gyrus,0.564,0.447,1.2848,0.0287,Right Lingual Gyrus,1
121,1628.115,1.397,28.0709,Right Middle Cingulate Cortex,0.738,0.603,1.2341,0.0255,Right Cerebellum,1
122,1173.335,1.526,20.2299,Right Superior Temporal Gyrus,0.588,0.474,1.2333,0.0415,Right Temporal Pole,1
123,2471.118,1.164,42.6055,Left Middle Occipital Gyrus,0.903,0.836,1.0704,0.0182,Right Cerebellum,1
124,2114.843,1.247,36.4628,Right Cerebellum,0.849,0.753,1.1159,0.0235,Right Cerebellum,1
125,1112.42,1.533,19.1797,Right Middle Temporal Gyrus,0.597,0.467,1.228,0.0252,Right Inferior Temporal Gyrus,1
126,1643.773,1.357,28.3409,RightPrecentral Gyrus,0.753,0.643,1.1628,0.0313,Right Cerebellum,1
127,1248.707,1.46,21.5294,Right Cerebellum,0.662,0.54,1.2389,0.0346,Right Cerebellum,1
128,1708.563,1.362,29.458,RightPrecentral Gyrus,0.76,0.638,1.1913,0.024,Right Inferior Temporal Gyrus,1
129,2741.693,1.128,47.2706,Right Temporal Pole,0.92,0.872,1.0695,0.0201,Right Inferior Temporal Gyrus,1
130,1911.73,1.313,32.9609,Right Postcentral Gyrus,0.8,0.687,1.1354,0.0256,Right Cerebellum,1
131,2194.286,1.272,37.8325,Right Inferior Frontal Gyrus (p. Triangularis),0.835,0.728,1.1799,0.042,Right Superior Temporal Gyrus,1
132,1381.784,1.451,23.8239,Right Inferior Temporal Gyrus,0.645,0.549,1.1963,0.0246,Right Inferior Temporal Gyrus,1
133,1894.506,1.3,32.6639,Left Cerebellum,0.795,0.7,1.1579,0.0517,Left Cerebellum,1
134,2594.299,1.173,44.7293,Right SMA,0.894,0.827,1.0668,0.0322,Right SMA,1
135,1683.25,1.367,29.0216,Right Cerebellum,0.748,0.633,1.1548,0.0195,Right Cerebellum,2
136,2351.58,1.216,40.5445,Right SMA,0.873,0.784,1.1231,0.0314,Right Cerebellum,2
137,1868.939,1.338,32.2231,Left Precentral Gyrus,0.769,0.662,1.1596,0.0217,Right Middle Cingulate Cortex,2
138,4241.178,1.047,73.1238,RightPrecentral Gyrus,0.983,0.953,1.0324,0.0133,Left Heschls Gyrus,2
139,1171.924,1.507,20.2056,Right Temporal Pole,0.615,0.493,1.257,0.0333,Right Temporal Pole,2
140,1681.763,1.355,28.9959,Left Middle Temporal Gyrus,0.746,0.645,1.1787,0.0256,Left Middle Temporal Gyrus,2
141,3297.92,1.108,56.8607,Right Cerebellum,0.939,0.892,1.0615,0.0157,Left Cerebellum,2
142,1387.166,1.436,23.9167,Right SMA,0.689,0.564,1.2002,0.0249,Right Cerebellum,2
143,1736.0,1.342,29.931,Left Fusiform Gyrus,0.77,0.658,1.15,0.0336,Left Fusiform Gyrus,2
144,2264.636,1.26,39.0454,Left Cerebellum,0.845,0.74,1.1388,0.0328,Right Middle Cingulate Cortex,2
145,2450.142,1.191,42.2438,Right Cerebellum,0.885,0.809,1.083,0.0209,Left Precentral Gyrus,2
146,3280.264,1.127,56.5563,Left Inferior Occipital Gyrus,0.941,0.873,1.084,0.0185,Right Posterior Cingulate Cortex,2
147,2141.465,1.246,36.9218,Left Middle Occipital Gyrus,0.843,0.754,1.1185,0.0397,Left Middle Occipital Gyrus,2
148,1772.912,1.326,30.5674,Right Paracentral Lobule,0.807,0.674,1.2263,0.0296,Right Hippocampus,1
149,1017.986,1.558,17.5515,Right Cerebellum,0.623,0.445,1.382,0.0316,Right Middle Cingulate Cortex,1
150,783.688,1.656,13.5119,Right Paracentral Lobule,0.562,0.354,1.5606,0.0349,Cerebellar Vermis,1
151,1351.43,1.448,23.3005,Right Thalamus,0.678,0.553,1.201,0.034,Left Inferior Frontal Gyrus (p. Orbitalis),1
152,1443.327,1.413,24.885,Right Cerebellum,0.745,0.588,1.2405,0.0328,Right Paracentral Lobule,1
153,1777.368,1.371,30.6443,Left Lingual Gyrus,0.797,0.63,1.2668,0.0497,Left Cerebellum,1
154,2540.356,1.139,43.7992,Right ParaHippocampal Gyrus,0.904,0.861,1.0492,0.0168,Right Cerebellum,1
155,2066.72,1.267,35.6331,Right Temporal Pole,0.842,0.733,1.1464,0.0333,Right Temporal Pole,1
156,1876.681,1.289,32.3566,Right Cerebellum,0.818,0.711,1.1601,0.0186,Right Cerebellum,1
157,1967.247,1.255,33.918,Right Cerebellum,0.853,0.745,1.1505,0.0227,Right Inferior Temporal Gyrus,1
158,2456.41,1.189,42.3519,Left SMA,0.899,0.811,1.1083,0.0308,Right ParaHippocampal Gyrus,1
159,2371.931,1.174,40.8954,Right Thalamus,0.893,0.826,1.0902,0.0207,Cerebellar Vermis,1
160,1812.641,1.327,31.2524,Right SMA,0.819,0.674,1.1988,0.0287,Right SMA,1
161,2409.331,1.178,41.5402,Right Paracentral Lobule,0.886,0.822,1.072,0.0323,Right Inferior Temporal Gyrus,1
162,1876.437,1.27,32.3524,Right Middle Cingulate Cortex,0.849,0.731,1.1606,0.0206,Right Cerebellum,1
163,1463.857,1.423,25.2389,Right Hippocampus,0.729,0.579,1.2542,0.031,Left Superior Temporal Gyrus,1
164,1958.06,1.269,33.7597,Left Middle Occipital Gyrus,0.824,0.731,1.1409,0.0275,Left Middle Occipital Gyrus,1
165,2030.227,1.273,35.0039,Right Precuneus,0.822,0.727,1.1058,0.0291,Right Precuneus,1
166,2369.617,1.181,40.8555,Right Cerebellum,0.905,0.819,1.1251,0.0436,Cerebellar Vermis,1
167,3063.628,1.125,52.8212,Right Paracentral Lobule,0.933,0.875,1.0764,0.0273,Right Paracentral Lobule,1
168,1719.191,1.316,29.6412,Right Precuneus,0.798,0.684,1.1816,0.0304,Left Middle Frontal Gyrus,1
169,2378.776,1.218,41.0134,Right Paracentral Lobule,0.879,0.782,1.1165,0.0633,Right Cerebellum,1
170,1628.582,1.343,28.079,Right Paracentral Lobule,0.767,0.657,1.1403,0.0523,Right Paracentral Lobule,1
171,954.015,1.62,16.4485,Right Lingual Gyrus,0.597,0.392,1.5281,0.0357,Left Middle Temporal Gyrus,1
172,1444.988,1.414,24.9136,Left Precentral Gyrus,0.74,0.587,1.2692,0.0223,Left Precentral Gyrus,1
173,2439.322,1.227,42.0573,RightPrecentral Gyrus,0.869,0.774,1.1285,0.0401,Right Lingual Gyrus,1
174,1288.039,1.464,22.2076,Right Temporal Pole,0.7,0.536,1.3322,0.0529,Right Temporal Pole,1
175,1235.547,1.474,21.3025,RightPrecentral Gyrus,0.671,0.527,1.271,0.0384,Left Middle Occipital Gyrus,1
176,1830.764,1.306,31.5649,Right Middle Cingulate Cortex,0.816,0.694,1.203,0.0246,Right Superior Temporal Gyrus,1
177,1406.707,1.414,24.2536,Right Precuneus,0.744,0.589,1.2659,0.0412,Right Precuneus,1
178,1779.275,1.303,30.6772,Right Precuneus,0.823,0.697,1.1907,0.032,Right Lingual Gyrus,1
179,865.151,1.611,14.9164,Cerebellar Vermis,0.541,0.389,1.418,0.049,Cerebellar Vermis,1
180,1387.585,1.439,23.9239,Left Precentral Gyrus,0.691,0.561,1.2283,0.0343,Right SMA,1
181,2450.193,1.213,42.2447,Right Thalamus,0.868,0.787,1.1017,0.0604,Left Cerebellum,1
182,967.541,1.588,16.6817,Right Cerebellum,0.606,0.414,1.4902,0.0355,Right Hippocampus,2
183,859.913,1.633,14.8261,Left Precentral Gyrus,0.539,0.371,1.4619,0.0255,Left Precentral Gyrus,2
184,2291.561,1.213,39.5097,Left Superior Frontal Gyrus,0.869,0.787,1.1028,0.0359,Right Paracentral Lobule,2
185,2273.621,1.234,39.2004,Right SMA,0.869,0.766,1.1233,0.0456,Right SMA,2
186,2482.736,1.172,42.8058,Right Thalamus,0.897,0.828,1.074,0.0207,Right Cerebellum,2
187,2396.579,1.209,41.3203,Right SMA,0.883,0.791,1.0959,0.0217,Right Superior Temporal Gyrus,2
188,962.388,1.589,16.5929,Left Precuneus,0.593,0.417,1.3972,0.0301,Right Cerebellum,2
189,1202.387,1.495,20.7308,Right Hippocampus,0.658,0.505,1.2997,0.0253,Right Cerebellum,2
190,1571.666,1.365,27.0977,Right Lingual Gyrus,0.766,0.635,1.1971,0.0244,Right Thalamus,2
191,1576.137,1.389,27.1748,Right SMA,0.745,0.611,1.2068,0.0429,Right SMA,2
192,2509.068,1.17,43.2598,Left Precentral Gyrus,0.893,0.83,1.083,0.0278,Right Cerebellum,2
193,1299.014,1.459,22.3968,Right Superior Frontal Gyrus,0.697,0.543,1.2682,0.0285,Right Superior Frontal Gyrus,2
194,1411.883,1.438,24.3428,Left Cerebellum,0.705,0.562,1.2517,0.0487,Left Cerebellum,2
195,1338.901,1.437,23.0845,Right Precuneus,0.723,0.566,1.2607,0.034,Right ParaHippocampal Gyrus,2
196,2498.282,1.148,43.0738,Right Temporal Pole,0.916,0.852,1.0903,0.0377,Right Temporal Pole,2
197,1157.405,1.511,19.9553,Left Hippocampus,0.651,0.489,1.3249,0.0314,Right Hippocampus,2
198,1213.582,1.491,20.9238,Right Fusiform Gyrus,0.648,0.509,1.2344,0.0491,Left Cerebellum,2
199,2608.944,1.152,44.9818,Right Precuneus,0.915,0.848,1.0899,0.0188,Right Precuneus,2
200,1798.184,1.314,31.0032,Right Superior Medial Gyrus,0.805,0.686,1.1906,0.0232,Left Middle Occipital Gyrus,2
201,1163.926,1.51,20.0677,Left Precentral Gyrus,0.615,0.49,1.2512,0.033,Left Precentral Gyrus,2
