,total functional wiring,characteristic length,average node degree,argmax node degree,binarized average clustering,density,binarized small-worldness,max node betweenness,argmax node betweenness,label
202,1762.233,1.349,30.3833,Left Precuneus,0.765,0.651,1.1605,0.0238,RightPrecentral Gyrus,2
203,1351.38,1.449,23.2997,Left Hippocampus,0.698,0.551,1.256,0.0287,Left Cerebellum,2
204,958.385,1.575,16.5239,Right Lingual Gyrus,0.592,0.425,1.3543,0.0311,Right Cerebellum,2
205,920.47,1.615,15.8702,Right Middle Cingulate Cortex,0.601,0.39,1.5314,0.0366,Right Middle Cingulate Cortex,2
206,3046.171,1.092,52.5202,RightPrecentral Gyrus,0.956,0.908,1.0502,0.0349,Left Cerebellum,2
207,2698.328,1.162,46.5229,Right Middle Cingulate Cortex,0.898,0.838,1.0562,0.0217,Right Lingual Gyrus,2
208,1715.476,1.378,29.5772,Right SMA,0.749,0.622,1.2049,0.0294,Right Inferior Temporal Gyrus,2
209,2087.239,1.222,35.9869,Right Precuneus,0.861,0.778,1.1113,0.0326,Right Precuneus,2
210,1094.576,1.546,18.872,Left Middle Occipital Gyrus,0.631,0.457,1.3401,0.0377,Right Cerebellum,2
211,823.62,1.626,14.2004,Left Hippocampus,0.549,0.377,1.4338,0.0351,Right Lingual Gyrus,2
212,1871.328,1.3,32.2643,Left Cerebellum,0.816,0.7,1.1685,0.0316,Right Cerebellum,2
213,1976.921,1.307,34.0848,Right Middle Temporal Gyrus,0.804,0.693,1.1358,0.0352,Right Middle Temporal Gyrus,2
214,2365.5,1.204,40.7845,Left Lingual Gyrus,0.878,0.796,1.1228,0.0268,Right Middle Cingulate Cortex,2
215,907.729,1.608,15.6505,Right Superior Parietal Lobule ,0.568,0.395,1.4181,0.0499,Right Precuneus,2
216,1328.151,1.444,22.8992,Right Cerebellum,0.704,0.556,1.2872,0.0449,Right Cerebellum,2
217,2262.726,1.203,39.0125,Left Cerebellum,0.878,0.797,1.1191,0.033,Left Cerebellum,2
218,2731.332,1.206,47.0919,Right Temporal Pole,0.889,0.794,1.122,0.0453,Right Temporal Pole,2
219,1509.314,1.419,26.0227,Right Cerebellum,0.731,0.582,1.2674,0.0389,Right Temporal Pole,2
220,3562.555,1.082,61.4234,Right SMA,0.96,0.918,1.041,0.0159,Left Cerebellum,2
221,948.56,1.588,16.3545,Right Calcarine Gyrus,0.631,0.417,1.4682,0.0427,Left Precuneus,2
222,2692.409,1.117,46.4208,Right Temporal Pole,0.941,0.883,1.0669,0.0172,Right Temporal Pole,2
223,1393.347,1.433,24.0232,Left Superior Frontal Gyrus,0.691,0.567,1.1757,0.043,Left Inferior Temporal Gyrus,2
224,2905.245,1.117,50.0904,Right SMA,0.932,0.883,1.046,0.0256,Cerebellar Vermis,2
225,1093.063,1.548,18.8459,Cerebellar Vermis,0.631,0.455,1.4115,0.0453,Cerebellar Vermis,2
226,3034.429,1.101,52.3177,Left Superior Frontal Gyrus,0.937,0.899,1.0455,0.0186,Left Cerebellum,2
227,2714.164,1.167,46.7959,Left Middle Occipital Gyrus,0.901,0.833,1.0889,0.0197,Left Cerebellum,2
228,1451.575,1.421,25.0272,Left Lingual Gyrus,0.71,0.579,1.2525,0.0241,Left Inferior Temporal Gyrus,2
229,1174.889,1.544,20.2567,Left Cerebellum,0.606,0.456,1.3136,0.0259,Right Hippocampus,2
230,1344.161,1.424,23.1752,Right Cerebellum,0.706,0.576,1.1777,0.027,RightPrecentral Gyrus,2
231,1819.275,1.312,31.3668,Right Paracentral Lobule,0.82,0.689,1.1733,0.0304,Right Cerebellum,2
232,2387.856,1.2,41.1699,Right Temporal Pole,0.896,0.8,1.113,0.0294,Right Cerebellum,2
233,922.463,1.603,15.9045,Right Cerebellum,0.588,0.398,1.5009,0.0384,Right Cerebellum,2
234,1540.67,1.399,26.5633,Right Paracentral Lobule,0.759,0.612,1.229,0.0296,Right Temporal Pole,2
235,1986.964,1.288,34.258,Right SMA,0.813,0.712,1.1316,0.0229,Left Inferior Frontal Gyrus (p. Orbitalis),2
236,2015.172,1.234,34.7444,Right SMA,0.85,0.767,1.1144,0.0407,Right SMA,2
237,1345.614,1.451,23.2002,Left Middle Temporal Gyrus,0.716,0.553,1.279,0.0424,Right Superior Parietal Lobule ,2
238,1387.76,1.436,23.9269,Right Middle Cingulate Cortex,0.713,0.564,1.2465,0.0355,Left Cerebellum,2
239,2150.613,1.223,37.0795,Right Precuneus,0.86,0.777,1.1123,0.0304,Right ParaHippocampal Gyrus,2
240,1676.196,1.334,28.8999,Right SMA,0.786,0.666,1.161,0.027,Left Hippocampus,2
241,2995.035,1.141,51.6385,Right Precuneus,0.904,0.859,1.0652,0.0204,Left Cerebellum,2
242,1327.114,1.466,22.8813,Right Middle Temporal Gyrus,0.684,0.534,1.2889,0.0314,Right Fusiform Gyrus,1
243,2602.421,1.169,44.8693,Right Precuneus,0.9,0.831,1.0807,0.0445,Right Precuneus,1
244,1358.414,1.449,23.4209,Right Cerebellum,0.712,0.552,1.3012,0.0365,Right Cerebellum,1
245,2163.179,1.213,37.2962,Right Precuneus,0.862,0.787,1.0922,0.018,Left Middle Occipital Gyrus,1
246,1512.697,1.391,26.081,Left Thalamus,0.75,0.609,1.2402,0.025,Right SMA,1
247,1227.802,1.487,21.169,Right Cerebellum,0.672,0.513,1.2961,0.0285,Right SMA,1
248,1297.992,1.448,22.3792,Right Cerebellum,0.709,0.552,1.2726,0.0424,Right Cerebellum,1
249,952.346,1.596,16.4198,Right Paracentral Lobule,0.569,0.406,1.3887,0.0369,Right Paracentral Lobule,1
250,1691.964,1.337,29.1718,Right SMA,0.787,0.663,1.1951,0.0362,Right SMA,1
251,2018.231,1.268,34.7971,Right Middle Cingulate Cortex,0.848,0.732,1.1536,0.0279,Left Fusiform Gyrus,1
252,2344.309,1.194,40.4191,Right Paracentral Lobule,0.886,0.806,1.1038,0.0345,Left Cerebellum,1
253,1169.208,1.5,20.1588,Right Inferior Temporal Gyrus,0.651,0.5,1.3063,0.0322,Right Middle Cingulate Cortex,1
254,1203.686,1.502,20.7532,Right SMA,0.669,0.498,1.3773,0.045,Right Olfactory cortex,1
255,718.185,1.697,12.3825,Right Cerebellum,0.517,0.314,1.6552,0.0471,Left Precentral Gyrus,2
256,1778.713,1.319,30.6675,Right Temporal Pole,0.81,0.681,1.1989,0.0334,Right SMA,2
257,1762.724,1.345,30.3918,Right SMA,0.783,0.655,1.203,0.0233,Cerebellar Vermis,2
258,1373.948,1.426,23.6888,Right SMA,0.72,0.575,1.2632,0.0284,Left Precentral Gyrus,2
259,2554.377,1.136,44.041,Right Paracentral Lobule,0.927,0.864,1.0716,0.0172,Right Cerebellum,2
260,1618.767,1.356,27.9098,Right Paracentral Lobule,0.776,0.644,1.2305,0.061,Right Paracentral Lobule,2
261,1803.694,1.312,31.0982,Right Cerebellum,0.798,0.688,1.1663,0.0305,RightPrecentral Gyrus,2
262,2451.73,1.21,42.2712,RightPrecentral Gyrus,0.867,0.79,1.1078,0.0143,Right Heschls Gyrus,2
263,2322.061,1.204,40.0355,Right SMA,0.904,0.797,1.1257,0.0246,Right Thalamus,2
264,2772.182,1.107,47.7962,Right Paracentral Lobule,0.933,0.893,1.041,0.027,Right Paracentral Lobule,2
265,1550.035,1.389,26.7247,Right Temporal Pole,0.769,0.613,1.2564,0.0244,Left Superior Frontal Gyrus,2
266,939.198,1.592,16.1931,Left Cerebellum,0.593,0.413,1.4522,0.0389,Right Thalamus,2
267,1837.222,1.313,31.6762,Right Fusiform Gyrus,0.813,0.687,1.1976,0.0272,Right Middle Cingulate Cortex,2
268,894.807,1.598,15.4277,Right Cerebellum,0.553,0.402,1.2854,0.0291,Right Cerebellum,2
269,2180.863,1.215,37.6011,Right Middle Cingulate Cortex,0.866,0.785,1.0813,0.0442,Right Middle Cingulate Cortex,2
270,2907.365,1.128,50.127,Right Precuneus,0.928,0.872,1.0612,0.0334,Right Cerebellum,2
271,2160.641,1.235,37.2524,Left ParaHippocampal Gyrus,0.849,0.765,1.0871,0.0453,Left ParaHippocampal Gyrus,2
272,2004.507,1.242,34.5605,Left Middle Temporal Gyrus,0.851,0.758,1.1301,0.0226,RightPrecentral Gyrus,2
273,1434.265,1.44,24.7287,Left Temporal Pole,0.702,0.56,1.2613,0.0378,Right Cerebellum,2
274,1638.142,1.342,28.2438,Left Precuneus,0.785,0.658,1.218,0.0362,Right Middle Cingulate Cortex,2
275,1584.228,1.367,27.3143,Right Middle Cingulate Cortex,0.768,0.634,1.2124,0.0317,Right Middle Cingulate Cortex,2
276,2013.595,1.243,34.7172,Right SMA,0.846,0.757,1.1262,0.0445,Right Middle Cingulate Cortex,2
277,1023.208,1.564,17.6415,Right Cerebellum,0.646,0.44,1.4755,0.0401,Right Precuneus,2
278,1432.213,1.429,24.6933,RightPrecentral Gyrus,0.74,0.572,1.3387,0.0525,RightPrecentral Gyrus,2
279,2962.302,1.151,51.0742,Right SMA,0.925,0.849,1.0893,0.0398,Left Cerebellum,2
280,1410.801,1.427,24.3242,Left Precuneus,0.699,0.573,1.2532,0.0371,Left Middle Occipital Gyrus,2
281,2314.442,1.246,39.9042,Left Cerebellum,0.882,0.754,1.1687,0.033,Left Temporal Pole,2
282,1653.32,1.348,28.5055,Right Inferior Frontal Gyrus (p. Orbitalis),0.787,0.652,1.1757,0.0345,Left Cerebellum,2
283,3042.06,1.093,52.4493,Left Cerebellum,0.944,0.907,1.0286,0.0142,Right Temporal Pole,2
284,2034.243,1.266,35.0732,Right Precuneus,0.847,0.734,1.1462,0.0368,Right Middle Cingulate Cortex,2
285,3284.547,1.084,56.6301,Right Lingual Gyrus,0.945,0.916,1.0337,0.0299,Left Cerebellum,2
286,2229.248,1.217,38.4353,Right Cerebellum,0.871,0.783,1.1156,0.0848,Right Cerebellum,2
287,1317.977,1.451,22.7237,Left Precuneus,0.718,0.554,1.2602,0.0387,Left Precuneus,2
288,1585.702,1.37,27.3397,Left Precuneus,0.751,0.63,1.1932,0.0336,Right Cerebellum,2
289,911.342,1.622,15.7128,Right Cerebellum,0.587,0.389,1.4867,0.0571,Right Cerebellum,2
290,1095.603,1.52,18.8897,Right Cerebellum,0.659,0.481,1.343,0.041,Right Cerebellum,2
291,4081.158,1.031,70.3648,Right Cerebellum,0.988,0.969,1.0175,0.0166,Left Cerebellum,2
292,2803.235,1.142,48.3316,Right Postcentral Gyrus,0.935,0.859,1.0964,0.0357,Right Cerebellum,1
293,2648.584,1.155,45.6652,Right Precuneus,0.922,0.845,1.1004,0.0305,Left Cerebellum,1
294,950.1,1.599,16.381,Right Cerebellum,0.579,0.406,1.412,0.0378,Left Cerebellum,1
295,1437.364,1.424,24.7821,Left Precentral Gyrus,0.746,0.577,1.3436,0.0424,Right Precuneus,1
296,2154.997,1.201,37.1551,Right Lingual Gyrus,0.862,0.799,1.0944,0.0278,Right Lingual Gyrus,1
297,1457.644,1.437,25.1318,Right Postcentral Gyrus,0.71,0.563,1.2708,0.0497,Left Cerebellum,1
298,1796.378,1.332,30.972,Left Superior Frontal Gyrus,0.8,0.668,1.2286,0.0549,Right Cerebellum,1
299,3109.193,1.06,53.6068,Right Middle Cingulate Cortex,0.961,0.94,1.0286,0.0177,Right Cerebellum,1
300,2413.211,1.222,41.6071,Right Middle Cingulate Cortex,0.881,0.779,1.1636,0.0432,Left Cerebellum,1
301,2370.672,1.249,40.8737,RightPrecentral Gyrus,0.856,0.751,1.1553,0.0641,Right Cerebellum,1
302,1267.373,1.46,21.8513,RightPrecentral Gyrus,0.695,0.541,1.2768,0.0337,Left Cerebellum,1
303,2015.885,1.275,34.7566,Right Cerebellum,0.861,0.725,1.1879,0.0259,Left Middle Occipital Gyrus,1
304,1145.987,1.527,19.7584,Right Middle Frontal Gyrus,0.678,0.475,1.414,0.058,Right Middle Temporal Gyrus,1
305,2623.845,1.121,45.2387,Right Postcentral Gyrus,0.928,0.879,1.0513,0.0227,Left Cerebellum,1
306,2948.019,1.126,50.8279,Left Cerebellum,0.924,0.874,1.0679,0.033,Right Cerebellum,1
307,2081.201,1.222,35.8828,Right Temporal Pole,0.862,0.778,1.0878,0.0374,Right Temporal Pole,1
308,949.686,1.575,16.3739,Right Cerebellum,0.602,0.426,1.3947,0.0622,Right Cerebellum,1
309,2259.901,1.197,38.9638,Left Cerebellum,0.868,0.803,1.0918,0.0175,Right Postcentral Gyrus,1
310,1195.093,1.49,20.6051,Right Temporal Pole,0.697,0.512,1.334,0.0493,Right Middle Cingulate Cortex,1
311,1778.132,1.334,30.6574,Right Temporal Pole,0.783,0.666,1.1673,0.0441,Right Temporal Pole,1
312,1603.354,1.361,27.644,Right Precuneus,0.79,0.641,1.2251,0.0357,Right Precuneus,1
313,2911.594,1.095,50.1999,Left Precentral Gyrus,0.949,0.905,1.0544,0.0449,Right Cerebellum,1
314,1537.858,1.388,26.5148,Right Thalamus,0.751,0.612,1.2482,0.0351,Right Thalamus,1
315,3353.458,1.103,57.8182,Right Superior Parietal Lobule ,0.952,0.897,1.0694,0.0255,Right Cerebellum,1
316,2154.239,1.271,37.1421,Left Precuneus,0.82,0.729,1.1527,0.0236,Left Hippocampus,1
317,2128.632,1.269,36.7005,Right Precuneus,0.854,0.732,1.1551,0.0252,Left Superior Temporal Gyrus,1
318,2292.186,1.211,39.5205,Left Middle Occipital Gyrus,0.882,0.789,1.1205,0.0307,Right Cerebellum,1
319,1760.658,1.308,30.3562,Right Cerebellum,0.807,0.692,1.1463,0.0297,Right Precuneus,1
320,786.025,1.66,13.5522,Right Cerebellum,0.545,0.347,1.5052,0.0392,Right Cerebellum,1
321,801.826,1.638,13.8246,Left Superior Orbital Gyrus,0.542,0.363,1.4677,0.0534,Right Cerebellum,1
322,1022.784,1.587,17.6342,Right Middle Cingulate Cortex,0.643,0.446,1.4354,0.0465,Right Cerebellum,1
323,1595.186,1.37,27.5032,Left Middle Temporal Gyrus,0.763,0.63,1.2238,0.049,Left Middle Temporal Gyrus,1
324,2140.448,1.25,36.9043,Right Superior Frontal Gyrus,0.851,0.75,1.1514,0.0503,Right Cerebellum,1
325,3288.532,1.089,56.6988,Left Precentral Gyrus,0.963,0.911,1.0578,0.0238,Right Cerebellum,1
326,1107.534,1.514,19.0954,Right Middle Cingulate Cortex,0.674,0.493,1.3487,0.0679,Right Middle Cingulate Cortex,1
327,1176.7,1.478,20.2879,Left Cuneus,0.672,0.522,1.3053,0.0412,Right Superior Temporal Gyrus,1
328,1701.792,1.345,29.3412,Right Middle Temporal Gyrus,0.781,0.655,1.1967,0.0374,Left Cerebellum,1
329,1023.227,1.561,17.6418,Right Superior Medial Gyrus,0.596,0.44,1.3515,0.043,Right Cerebellum,1
330,1923.153,1.267,33.1578,Left Superior Temporal Gyrus,0.828,0.733,1.1139,0.0423,Right Cerebellum,1
331,3258.325,1.086,56.178,Right Middle Cingulate Cortex,0.964,0.914,1.0531,0.0175,Right Cerebellum,1
332,1279.313,1.456,22.0571,Right Middle Cingulate Cortex,0.725,0.547,1.3496,0.0384,Right Middle Cingulate Cortex,1
333,2513.236,1.173,43.3317,Right Middle Frontal Gyrus,0.894,0.827,1.0832,0.0355,Right Cerebellum,1
334,1178.78,1.507,20.3238,Right Middle Cingulate Cortex,0.661,0.494,1.3237,0.0482,Right Middle Frontal Gyrus,1
335,1219.658,1.499,21.0286,Right Cerebellum,0.619,0.501,1.2347,0.0601,Right Cerebellum,2
336,1333.579,1.483,22.9927,Right Fusiform Gyrus,0.611,0.518,1.1526,0.0209,Right Superior Temporal Gyrus,2
337,1309.867,1.469,22.5839,Right Cerebellum,0.683,0.531,1.27,0.0381,Right Cerebellum,2
338,2262.795,1.236,39.0137,Right Hippocampus,0.834,0.764,1.0872,0.0346,Right Hippocampus,2
339,1989.085,1.271,34.2946,Right Inferior Temporal Gyrus,0.822,0.729,1.1494,0.0578,Right Middle Cingulate Cortex,2
340,1554.818,1.396,26.8072,Right Inferior Temporal Gyrus,0.737,0.606,1.2123,0.0485,Right Inferior Temporal Gyrus,2
341,1707.788,1.363,29.4446,Right Cerebellum,0.745,0.637,1.162,0.0297,Right Cerebellum,2
342,2098.635,1.269,36.1834,Right Middle Cingulate Cortex,0.816,0.731,1.125,0.0204,RightPrecentral Gyrus,2
343,1190.066,1.508,20.5184,Right Cerebellum,0.625,0.492,1.2775,0.032,Right Thalamus,2
344,1721.528,1.347,29.6815,Left Cerebellum,0.766,0.653,1.1733,0.0268,Cerebellar Vermis,2
345,1142.429,1.515,19.697,Right Cerebellum,0.604,0.485,1.2521,0.029,Left Cerebellum,2
346,1966.752,1.286,33.9095,Left Middle Temporal Gyrus,0.809,0.714,1.119,0.0351,Right Cerebellum,2
347,1095.185,1.562,18.8825,Left Cerebellum,0.555,0.439,1.3036,0.0317,Left Cerebellum,2
348,2013.538,1.273,34.7162,Right Cerebellum,0.807,0.727,1.0997,0.0371,Right Cerebellum,2
349,1241.368,1.489,21.4029,Right Cerebellum,0.645,0.511,1.2568,0.0426,Right Postcentral Gyrus,2
350,1449.526,1.438,24.9918,Left Hippocampus,0.698,0.562,1.2697,0.0374,Right Cerebellum,2
351,887.804,1.615,15.307,Right Cerebellum,0.524,0.386,1.3341,0.024,Right Hippocampus,2
352,1357.261,1.454,23.4011,Right Middle Temporal Gyrus,0.669,0.546,1.2343,0.0423,Left Cerebellum,2
353,1396.1,1.442,24.0707,Right Middle Cingulate Cortex,0.679,0.558,1.2286,0.0293,Right Mid Orbital Gyrus,2
354,2750.883,1.145,47.429,Left Superior Frontal Gyrus,0.91,0.855,1.065,0.0214,Left Precentral Gyrus,1
355,2049.943,1.273,35.3439,Right Lingual Gyrus,0.816,0.727,1.1053,0.0296,Right Lingual Gyrus,1
356,1154.26,1.533,19.901,Right Superior Parietal Lobule ,0.599,0.467,1.3016,0.0249,Right Hippocampus,1
357,1800.738,1.339,31.0472,Left Cerebellum,0.774,0.661,1.1793,0.0435,Right Lingual Gyrus,1
358,1415.97,1.452,24.4133,Right Inferior Temporal Gyrus,0.66,0.548,1.1999,0.0328,Right Inferior Temporal Gyrus,1
359,1161.726,1.531,20.0298,Left Hippocampus,0.592,0.469,1.2698,0.0362,Right Middle Cingulate Cortex,1
360,1774.453,1.34,30.594,Right Cerebellum,0.779,0.66,1.2131,0.0267,Left Thalamus,1
361,2041.974,1.287,35.2065,Right Postcentral Gyrus,0.833,0.714,1.1606,0.0236,Right Superior Frontal Gyrus,1
362,1125.261,1.553,19.4011,Cerebellar Vermis,0.592,0.447,1.3157,0.0392,Right Hippocampus,1
363,2326.23,1.224,40.1074,Right Inferior Temporal Gyrus,0.855,0.776,1.0998,0.0316,Right Inferior Temporal Gyrus,1
364,1624.155,1.383,28.0027,Left Cerebellum,0.74,0.617,1.1769,0.0255,Right Middle Frontal Gyrus,1
365,1282.735,1.479,22.1161,Left Cerebellum,0.673,0.522,1.271,0.0328,Left Cerebellum,1
366,1388.789,1.438,23.9446,Left Precuneus,0.715,0.563,1.2846,0.0366,RightPrecentral Gyrus,1
367,887.122,1.619,15.2952,Right Middle Cingulate Cortex,0.529,0.381,1.3891,0.0389,Right Middle Cingulate Cortex,1
368,2311.3,1.204,39.85,Right Medial Temporal Pole,0.861,0.796,1.0987,0.0331,Left Cerebellum,1
369,1956.234,1.272,33.7282,Left Cerebellum,0.826,0.728,1.1562,0.0301,Right Mid Orbital Gyrus,1
370,1220.627,1.503,21.0453,Left Thalamus,0.616,0.497,1.2312,0.0282,Left Thalamus,1
371,1493.072,1.44,25.7426,Right Lingual Gyrus,0.687,0.561,1.2173,0.0374,Right Inferior Temporal Gyrus,1
372,1352.736,1.447,23.323,Right Cerebellum,0.674,0.553,1.1879,0.0444,Right Cerebellum,1
373,2817.338,1.137,48.5748,Right Middle Cingulate Cortex,0.929,0.863,1.054,0.0247,Right Middle Cingulate Cortex,1
374,717.093,1.684,12.3637,Right Cerebellum,0.47,0.319,1.4952,0.0313,Right Cerebellum,1
375,915.431,1.613,15.7833,Right Mid Orbital Gyrus,0.517,0.387,1.3134,0.045,Left Cerebellum,1
376,2788.839,1.136,48.0834,Left Cerebellum,0.92,0.864,1.0606,0.0142,Left Superior Temporal Gyrus,1
377,1966.587,1.287,33.9067,Right Cerebellum,0.816,0.713,1.1427,0.0577,Right SMA,1
378,1733.565,1.36,29.889,Right Cerebellum,0.777,0.64,1.1771,0.029,Cerebellar Vermis,1
379,2545.539,1.149,43.8886,Right Middle Cingulate Cortex,0.925,0.851,1.1013,0.0229,Right Middle Cingulate Cortex,1
380,2196.023,1.24,37.8625,Right Inferior Temporal Gyrus,0.834,0.76,1.0907,0.0253,Cerebellar Vermis,2
381,2453.008,1.178,42.2932,Right Middle Cingulate Cortex,0.896,0.822,1.0857,0.0314,Right Middle Cingulate Cortex,2
382,2191.191,1.236,37.7792,Right Lingual Gyrus,0.847,0.764,1.1119,0.025,Left Middle Temporal Gyrus,2
383,2746.928,1.153,47.3608,Right Middle Cingulate Cortex,0.914,0.847,1.0787,0.0276,Right Middle Cingulate Cortex,2
384,2655.864,1.212,45.7908,Right Superior Temporal Gyrus,0.857,0.788,1.0817,0.0229,Left Cerebellum,2
385,2559.936,1.232,44.1368,Left Temporal Pole,0.874,0.768,1.1317,0.0268,Right Cerebellum,2
386,3162.316,1.11,54.5227,Left Hippocampus,0.945,0.89,1.0735,0.0416,Cerebellar Vermis,2
387,2507.985,1.181,43.2411,Right Middle Cingulate Cortex,0.887,0.819,1.0942,0.0365,Left Cerebellum,1
388,2402.017,1.194,41.4141,Right Middle Cingulate Cortex,0.864,0.806,1.0661,0.0146,Right Inferior Temporal Gyrus,2
389,1745.038,1.349,30.0869,Right Inferior Temporal Gyrus,0.744,0.651,1.151,0.0398,Right Inferior Temporal Gyrus,2
390,1650.621,1.363,28.459,Left Cerebellum,0.753,0.637,1.1896,0.0281,Left Cerebellum,1
391,2906.707,1.128,50.1156,Right Middle Cingulate Cortex,0.927,0.872,1.0703,0.0136,Right Middle Cingulate Cortex,1
392,1614.69,1.38,27.8395,Left Cerebellum,0.734,0.62,1.1611,0.0229,Left Cerebellum,2
393,1962.164,1.289,33.8304,Right Lingual Gyrus,0.787,0.711,1.1183,0.0227,Right Cerebellum,2
394,2770.187,1.18,47.7618,Right Precuneus,0.902,0.82,1.0992,0.0468,Left Cerebellum,1
395,1820.633,1.346,31.3902,Right Lingual Gyrus,0.777,0.654,1.2033,0.031,Right Cerebellum,1
396,1614.867,1.375,27.8425,Left Temporal Pole,0.754,0.625,1.1669,0.0262,Left Superior Frontal Gyrus,1
397,1962.091,1.288,33.8292,Right Cerebellum,0.792,0.712,1.1038,0.0275,Right Lingual Gyrus,1
398,2155.728,1.269,37.1677,Right Cerebellum,0.836,0.732,1.1386,0.0442,Left Cerebellum,1
399,1603.627,1.372,27.6487,Left Cerebellum,0.744,0.628,1.1745,0.0267,Right Middle Cingulate Cortex,2
400,2899.865,1.119,49.9977,Right Cerebellum,0.939,0.881,1.0732,0.0261,Right Insula Lobe,2
401,1266.305,1.506,21.8328,Left ParaHippocampal Gyrus,0.649,0.495,1.3165,0.0438,Left Inferior Parietal Lobule ,1
402,2362.61,1.217,40.7347,Right Cerebellum,0.851,0.783,1.0834,0.0343,Right Cerebellum,2
403,1551.649,1.409,26.7526,Cerebellar Vermis,0.71,0.591,1.2173,0.0293,Right Middle Cingulate Cortex,1
404,1609.739,1.368,27.7541,Right Cerebellum,0.724,0.632,1.1328,0.0255,Right Superior Temporal Gyrus,2
405,2144.535,1.249,36.9747,Right Lingual Gyrus,0.84,0.751,1.1097,0.0206,Right Lingual Gyrus,1
406,2959.136,1.115,51.0196,Right Lingual Gyrus,0.937,0.885,1.0507,0.0169,Right Superior Temporal Gyrus,1
407,2272.932,1.243,39.1885,Right Cerebellum,0.834,0.757,1.079,0.0276,Left Cerebellum,2
